Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,26.1777,26.9025,27.61823,28.87806,29.95733,31.26921,32.78831,33.64131,32.68799,33.84061,34.2535,35.70139,36.18504,36.80382,37.60278,38.46425,39.75473,40.581,41.48974,42.49458,43.56699
Bulgaria,1.99942,2.254972,2.422843,2.725497,3.078761,3.446878,3.955714,4.671547,4.827663,4.968495,5.442655,5.664645,5.634205,5.876829,6.18257,6.734663,7.397006,8.052669,8.773985,9.379671,9.961321
Czechia,7.17267,8.23851,8.36418,8.97559,10.22863,11.34119,12.54215,14.46299,13.17291,13.8009,14.44451,14.40923,14.11207,13.8824,14.90301,15.61106,16.99211,18.4633,19.35339,20.17849,20.97167
Denmark,33.84949,34.86474,35.55154,37.51102,39.59154,41.98333,42.95851,44.47629,42.29306,44.55435,45.4408,46.56182,47.55647,48.80788,49.52456,50.49655,51.89821,52.70383,54.19778,55.69303,57.37942
Germany,26.46417,26.65916,26.84406,27.94376,28.36597,29.87963,31.30982,31.82934,31.07332,32.58233,34.41339,34.95362,35.6676,36.87295,37.93777,38.99577,40.26309,41.46754,42.30792,43.46459,44.55543
Estonia,4.79376,5.40621,6.02493,6.81257,8.03024,9.54626,11.42086,11.7826,10.31768,10.55336,12.01599,13.06075,14.0701,14.90304,15.47832,16.1166,17.64475,19.36826,20.60483,21.63665,22.71927
Ireland,26.95836,28.98963,31.39469,33.13256,35.42639,37.99648,38.75035,36.16572,31.32684,30.81918,30.31774,30.72609,32.86549,35.44988,42.94654,46.98896,49.15755,52.31958,53.9734,57.06587,60.11303
Greece,14.08208,15.12429,16.31494,17.58553,17.91279,19.40415,20.52032,21.19388,20.91127,19.90772,18.13296,17.4265,16.45663,16.51303,16.40292,16.3786,16.78912,17.12786,17.68708,18.32824,19.08789
Spain,16.95752,17.88988,18.85671,19.86562,20.94591,22.21024,23.19272,23.45947,22.62032,22.70229,22.35932,21.87151,21.75281,22.13694,23.21363,24.03865,24.96319,25.78474,26.47749,27.05131,27.59495
France,25.52541,25.96231,26.54952,27.55578,28.43438,29.63619,30.93485,31.63066,30.62137,31.402,32.34488,32.51245,32.80163,33.1216,33.73198,34.13822,35.03782,35.76522,36.66725,37.4935,38.28414
Croatia,5.9249,6.51413,6.89318,7.64182,8.27561,9.08851,9.96375,10.83895,10.10234,10.15446,10.13175,10.00927,10.01843,10.0545,10.56685,10.77035,11.57911,12.31173,12.97175,13.64791,14.35735
Italy,22.81765,23.54199,24.17534,25.06563,25.70831,26.67961,27.49035,27.39162,26.457,26.87408,27.38238,26.88759,26.54661,26.77368,27.06891,28.04765,28.84369,29.53602,29.73183,30.12183,30.66806
Cyprus,15.38875,16.05886,16.86236,16.40056,17.36404,18.0261,17.59315,23.76962,23.04776,23.06691,23.88667,22.34636,20.63068,19.87472,20.89295,21.27669,22.60426,23.43209,24.28755,25.0891,25.87214
Latvia,4.00926,4.396,4.55111,5.04478,6.06283,7.58154,9.99579,11.06056,9.39538,8.58116,9.81054,10.79062,11.32518,11.8235,12.28296,12.76383,13.74191,14.87319,15.93531,16.82475,17.76614
Lithuania,3.88865,4.36025,4.75984,5.29521,6.23673,7.22335,8.64895,9.87468,8.67478,8.96692,10.01207,10.80623,11.5668,12.31523,12.38404,13.06286,14.38771,15.63809,16.97243,18.09039,19.10702
Luxembourg,46.12486,46.21339,45.0913,50.45044,53.79781,49.47064,57.99266,58.30117,49.44205,57.097,57.37684,57.71007,56.94966,59.27876,59.57115,59.80198,61.36355,62.83665,70.47419,72.53191,74.40577
Hungary,5.54887,6.662,7.05219,7.78116,8.44662,8.58827,9.42997,10.07021,9.00616,9.44961,9.69401,9.63097,10.02146,10.26982,10.88313,11.44454,12.31731,13.13693,14.08423,14.74847,15.67061
Malta,11.60513,11.95278,11.88663,12.09076,12.28135,12.75756,13.76973,14.73628,14.07538,15.25155,15.87984,16.37612,17.15865,18.80639,20.53714,20.81065,22.15439,23.5545,24.50923,25.67126,26.78913
Netherlands,29.89,30.94898,31.94243,32.69138,33.28836,36.03817,37.77842,38.24504,37.43001,38.58339,39.50506,39.63862,39.83623,39.7212,40.7637,40.97839,43.41317,45.36432,46.69869,47.63188,48.584
Austria,27.04572,27.89111,28.48884,29.62434,30.82412,32.46875,34.19954,35.59584,34.51656,35.68584,37.09521,37.85462,38.3125,39.04353,39.50156,40.87878,41.72857,43.52409,44.7863,45.93645,47.1223
Poland,5.53537,5.47839,4.9857,5.22676,6.33903,7.0496,7.95826,9.43883,7.99219,9.05721,9.51305,9.72721,9.90851,10.28858,10.78179,10.66223,11.66933,12.41397,13.18423,14.07949,15.0231
Portugal,12.87758,13.47421,13.82598,14.33965,14.89501,15.35198,16.16637,16.39433,16.04406,16.44703,16.4093,15.62671,16.08571,16.29762,16.88461,17.62235,18.5769,19.39077,20.09083,20.78492,21.53461
Romania,1.99928,2.22293,2.31255,2.69644,3.60559,4.43221,5.97327,7.02584,6.10418,6.1556,6.49624,6.56392,7.05799,7.47979,7.9187,8.44183,9.38849,10.20305,11.27793,12.27998,13.33708
Slovenia,11.66199,12.40795,13.00824,13.67124,14.41849,15.47984,16.97359,18.26585,17.46309,17.51359,17.80728,17.35148,17.46328,18.0856,18.24955,19.05504,20.43223,21.73473,22.8151,23.9903,25.22219
Slovakia,4.44755,4.88525,5.3293,6.21047,7.12819,8.22436,10.15099,12.01841,11.76799,12.27902,12.73773,13.36352,13.63376,13.9165,14.3537,14.53791,15.22201,16.21417,17.03906,17.84988,18.73389
Finland,27.86719,28.63823,28.93823,30.57936,31.52323,33.12952,35.47545,36.62269,34.46478,35.53287,36.88659,37.30643,37.72017,38.25501,38.97363,39.77708,40.99706,42.64548,43.76917,45.00208,46.28258
