Year,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Albania,North Macedonia,Serbia,Iceland,Norway,Switzerland,Japan,United States
2001,4.79376,26.95836,14.08208,16.95752,25.52541,5.9249,22.81765,15.38875,4.00926,3.88865,46.12486,5.54887,11.60513,29.89,27.04572,5.53537,12.87758,1.99928,11.66199,4.44755,27.86719,30.26013,31.22037,1.47274,2.021289,1.931141,31.05685,43.10288,44.45674,38.2512,42.05696
2002,5.40621,28.98963,15.12429,17.88988,25.96231,6.51413,23.54199,16.05886,4.396,4.36025,46.21339,6.662,11.95278,30.94898,27.89111,5.47839,13.47421,2.22293,12.40795,4.88525,28.63823,31.68981,32.30448,1.549687,2.064057,2.413209,34.22925,45.92578,44.82811,34.65442,40.59898
2003,6.02493,31.39469,16.31494,18.85671,26.54952,6.89318,24.17534,16.86236,4.55111,4.75984,45.0913,7.05219,11.88663,31.94243,28.48884,4.9857,13.82598,2.31255,13.00824,5.3293,28.93823,33.42909,30.85908,1.665021,2.137587,2.641182,34.33042,44.60129,45.06756,31.21289,35.07373
2004,6.81257,33.13256,17.58553,19.86562,27.55578,7.64182,25.06563,16.40056,5.04478,5.29521,50.45044,7.78116,12.09076,32.69138,29.62434,5.22676,14.33965,2.69644,13.67124,6.21047,30.57936,34.46092,32.78461,1.953743,2.237395,2.789602,36.41026,46.45222,45.33263,30.79047,33.75647
2005,8.03024,35.42639,17.91279,20.94591,28.43438,8.27561,25.70831,17.36404,6.06283,6.23673,53.79781,8.44662,12.28135,33.28836,30.82412,6.33903,14.89501,3.60559,14.41849,7.12819,31.52323,35.22746,34.25584,2.193513,2.427244,2.921963,43.91447,54.3047,47.61417,30.49057,35.76371
2006,9.54626,37.99648,19.40415,22.21024,29.63619,9.08851,26.67961,18.0261,7.58154,7.22335,49.47064,8.58827,12.75756,36.03817,32.46875,7.0496,15.35198,4.43221,15.47984,8.22436,33.12952,37.85964,35.60304,2.439298,2.671759,3.396026,42.46947,59.10433,49.05306,28.83129,37.50818
2007,11.42086,38.75035,20.52032,23.19272,30.93485,9.96375,27.49035,17.59315,9.99579,8.64895,57.99266,9.42997,13.76973,37.77842,34.19954,7.95826,16.16637,5.97327,16.97359,10.15099,35.47545,40.1504,36.75899,2.703061,2.84487,4.142534,48.0633,62.08668,46.49354,26.42872,35.17372
2008,11.7826,36.16572,21.19388,23.45947,31.63066,10.83895,27.39162,23.76962,11.06056,9.87468,58.30117,10.07021,14.73628,38.24504,35.59584,9.43883,16.39433,7.02584,18.26585,12.01841,36.62269,39.64883,31.99708,3.000872,3.262348,4.725275,27.44982,66.23193,46.03335,27.26596,32.78484
2009,10.31768,31.32684,20.91127,22.62032,30.62137,10.10234,26.457,23.04776,9.39538,8.67478,49.44205,9.00616,14.07538,37.43001,34.51656,7.99219,16.04406,6.10418,17.46309,11.76799,34.46478,34.52043,27.6907,2.911909,3.276592,4.372339,24.29809,58.0037,51.14476,29.92586,33.59998
2010,10.55336,30.81918,19.90772,22.70229,31.402,10.15446,26.87408,23.06691,8.58116,8.96692,57.097,9.44961,15.25155,38.58339,35.68584,9.05721,16.44703,6.1556,17.51359,12.27902,35.53287,41.00076,29.77547,3.05765,3.410493,4.236478,27.42412,66.98711,59.44437,34.34984,36.83326
2011,12.01599,30.31774,18.13296,22.35932,32.34488,10.13175,27.38238,23.88667,9.81054,10.01207,57.37684,9.69401,15.87984,39.50506,37.09521,9.51305,16.4093,6.49624,17.80728,12.73773,36.88659,44.48146,30.3398,3.19109,3.601157,4.707076,30.02038,73.10824,64.4346,35.43982,36.45151
2012,13.06075,30.72609,17.4265,21.87151,32.51245,10.00927,26.88759,22.34636,10.79062,10.80623,57.71007,9.63097,16.37612,39.63862,37.85462,9.72721,15.62671,6.56392,17.35148,13.36352,37.30643,46.08206,32.8039,3.28038,3.600605,4.528592,32.49189,79.7673,66.44543,38.61036,41.28953
2013,14.0701,32.86549,16.45663,21.75281,32.80163,10.01843,26.54661,20.63068,11.32518,11.5668,56.94966,10.02146,17.15865,39.83623,38.3125,9.90851,16.08571,7.05799,17.46328,13.63376,37.72017,46.88479,32.0663,3.38179,3.854833,4.886298,36.81,78.37749,65.43591,31.25894,40.87121
2014,14.90304,35.44988,16.51303,22.13694,33.1216,10.0545,26.77368,19.87472,11.8235,12.31523,59.27876,10.26982,18.80639,39.7212,39.04353,10.28858,16.29762,7.47979,18.0856,13.9165,38.25501,46.08022,35.02671,3.482076,4.063655,4.785769,40.30871,75.63535,65.60496,29.60564,42.64721
2015,15.47832,42.94654,16.40292,23.21363,33.73198,10.56685,27.06891,20.89295,12.28296,12.38404,59.57115,10.88313,20.53714,40.7637,39.50156,10.78179,16.88461,7.9187,18.24955,14.3537,38.97363,46.76729,39.63345,3.605989,4.244089,4.798652,47.22804,69.90059,75.6144,32.09815,52.51353
2016,16.1166,46.98896,16.3786,24.03865,34.13822,10.77035,28.04765,21.27669,12.76383,13.06286,59.80198,11.44454,20.81065,40.97839,40.87878,10.66223,17.62235,8.44183,19.05504,14.53791,39.77708,47.31898,36.20151,3.788533,4.474177,4.915964,56.57286,66.83328,72.63839,36.08009,53.21663
2017,17.64475,49.15755,16.78912,24.96319,35.03782,11.57911,28.84369,22.60426,13.74191,14.38771,61.36355,12.31731,22.15439,43.41317,41.72857,11.66933,18.5769,9.38849,20.43223,15.22201,40.99706,48.40522,35.35621,4.03486,4.63543,5.216198,63.33743,69.92363,70.10041,34.94951,53.94365
2018,19.36826,52.31958,17.12786,25.78474,35.76522,12.31173,29.53602,23.43209,14.87319,15.63809,62.83665,13.13693,23.5545,45.36432,43.52409,12.41397,19.39077,10.20305,21.73473,16.21417,42.64548,47.02837,35.92308,4.458279,4.953349,5.820425,62.71425,72.18538,70.31098,34.28404,53.88673
2019,20.60483,53.9734,17.68708,26.47749,36.66725,12.97175,29.73183,24.28755,15.93531,16.97243,70.47419,14.08423,24.50923,46.69869,44.7863,13.18423,20.09083,11.27793,22.8151,17.03906,43.76917,46.5184,36.99168,4.85865,5.212578,6.199695,59.55925,72.84393,73.31196,37.28306,58.78686
2020,21.63665,57.06587,18.32824,27.05131,37.4935,13.64791,30.12183,25.0891,16.82475,18.09039,72.53191,14.74847,25.67126,47.63188,45.93645,14.07949,20.78492,12.27998,23.9903,17.84988,45.00208,46.42001,38.26127,5.148781,5.490727,6.667766,61.38961,73.49563,75.51128,38.4371,61.26385
2021,22.71927,60.11303,19.08789,27.59495,38.28414,14.35735,30.66806,25.87214,17.76614,19.10702,74.40577,15.67061,26.78913,48.584,47.1223,15.0231,21.53461,13.33708,25.22219,18.73389,46.28258,47.39835,39.29099,5.459471,5.826361,7.140859,63.14951,76.00861,76.63019,39.03639,62.86343
